Rank,Player,Points,Country,Characters
1,"Allocution",1700,"","Jin"
2,"Oishimari",1658,"",""
3,"84DaysWithout",1638,"",""
4,"FireFury212",1508,"",""
5,"DJSymphix",1408,"",""
6,"Sneak47",1402,"","Paul"
7,"ItsSyrix",1346,"",""
8,"NO Juice",1292,"","Law"
9,"ThickyMcNick",1267,"",""
10,"Zandak",1218,"",""
11,"LND| | NK30",1179,"",""
12,"UDG_Tye",1135,"",""
13,"SeaCaveArcade | Savion",1074,"",""
14,"SaltAndBatteries",1053,"",""
15,"OmniFade",977,"",""
16,"ZatouSyrene",940,"",""
17,"ZexySwami",936,"",""
18,"Dojo337 | Drago",848,"","Hwoarang"
19,"The Bakery | Dohma",837,"",""
20,"Ryu6694",814,"",""
